Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ecklund, E.H., Lincoln, A.E.","9271537700;36001264500;","Scientists want more children",2011,"PLoS ONE","6","8", e22590,"","",,32,"10.1371/journal.pone.0022590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961145395&doi=10.1371%2fjournal.pone.0022590&partnerID=40&md5=44545924b05a5765d7b338832f080bce",Article,"Final",Open Access,Scopus,2-s2.0-79961145395
"Grossbard, S., Amuedo-Dorantes, C.","18634283800;6701745549;","Cohort-level sex ratio effects on women's labor force participation",2007,"Review of Economics of the Household","5","3",,"249","278",,32,"10.1007/s11150-007-9014-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547922749&doi=10.1007%2fs11150-007-9014-1&partnerID=40&md5=ded6ed36dc4b57b0cb45c75e7671edf2",Article,"Final",,Scopus,2-s2.0-34547922749
"Abrams, D., de Moura, G.R., Travaglino, G.A.","7101975318;56820251700;55927816700;","A double standard when group members behave badly: Transgression credit to ingroup leaders",2013,"Journal of Personality and Social Psychology","105","5",,"799","815",,31,"10.1037/a0033600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887514455&doi=10.1037%2fa0033600&partnerID=40&md5=30ddac1ea817da0667e74e4801f9dcf1",Article,"Final",,Scopus,2-s2.0-84887514455
"Freeman, R.B.","55331486100;","America works: The exceptional U.S. Labor market",2007,"America Works: The Exceptional U.S. Labor Market",,,,"1","191",,31,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904852785&partnerID=40&md5=b7a3bc479c94c687907e73cbec2ee2f0",Book,"Final",,Scopus,2-s2.0-84904852785
"Leibbrandt, A., List, J.A.","39961879500;26643272500;","Do women avoid salary negotiations? Evidence from a large-scale natural field experiment",2015,"Management Science","61","9",,"2016","2024",,30,"10.1287/mnsc.2014.1994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941764254&doi=10.1287%2fmnsc.2014.1994&partnerID=40&md5=75f78500b81f79770f4e586066bd33bf",Article,"Final",,Scopus,2-s2.0-84941764254
"Burkhauser, R.V., Houtenville, A.J., Tennant, J.R.","7003593594;6507790291;55009112500;","Capturing the Elusive Working-Age Population With Disabilities: Reconciling Conflicting Social Success Estimates From the Current Population Survey and American Community Survey",2014,"Journal of Disability Policy Studies","24","4",,"195","205",,30,"10.1177/1044207312446226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893687640&doi=10.1177%2f1044207312446226&partnerID=40&md5=4d6d616169f81a78754f03849092e668",Article,"Final",,Scopus,2-s2.0-84893687640
"Bizer, G.Y., Hart, J., Jekogian, A.M.","6507071600;8863263200;54684035600;","Belief in a just world and social dominance orientation: Evidence for a mediational pathway predicting negative attitudes and discrimination against individuals with mental illness",2012,"Personality and Individual Differences","52","3",,"428","432",,30,"10.1016/j.paid.2011.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455173512&doi=10.1016%2fj.paid.2011.11.002&partnerID=40&md5=d9392f34b8d912fcf1e186a82497f04f",Article,"Final",,Scopus,2-s2.0-83455173512
"Fouad, N., Fitzpatrick, M., Liu, J.P.","7006325932;23096847300;48661220200;","Persistence of women in engineering careers: A qualitative study of current and former female engineers",2011,"Journal of Women and Minorities in Science and Engineering","17","1",,"69","96",,30,"10.1615/JWomenMinorScienEng.v17.i1.60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051488308&doi=10.1615%2fJWomenMinorScienEng.v17.i1.60&partnerID=40&md5=ee7df5b6444929b2455248855e379648",Article,"Final",,Scopus,2-s2.0-80051488308
"Prottas, D.J.","14044012300;","Perceived behavioral integrity: Relationships with employee attitudes, well-being, and absenteeism",2008,"Journal of Business Ethics","81","2",,"313","322",,30,"10.1007/s10551-007-9496-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46449111113&doi=10.1007%2fs10551-007-9496-z&partnerID=40&md5=fd355c773c017f4cc28b7ed8f2e6576f",Article,"Final",,Scopus,2-s2.0-46449111113
"Bound, J., Lovenheim, M., Turner, S.","","Understanding the decrease in college completion rates and the increased time to the baccalaureate degree",2007,"Understanding the Decrease in College Completion Rates and the Increased Time to the Baccalaureate Degree",,,,"","",,30,,,Article,"Final",,Scopus,2-s2.0-75749088378
"Cunningham, W.","",[No title available],2007,"Minimum Wages and Social Policy: Lessons from Developing Countries",,,,"","",,30,,,Article,"Final",,Scopus,2-s2.0-79959573253
"Baldwin, M.L., Johnson, W.G.","7202508403;7404847427;","A critical review of studies of discrimination against workers with disabilities",2006,"Handbook on the Economics of Discrimination",,,,"119","160",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-41749096427&partnerID=40&md5=605cf5b1e2644a8c17d25fe58edebe3f",Book Chapter,"Final",,Scopus,2-s2.0-41749096427
"Bianchi, S.M., Rytina, N.","7202504120;6504086188;","The decline in occupational sex segregation during the 19705: census and cps comparisons",1986,"Demography","23","1",,"79","86",,30,"10.2307/2061409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022670828&doi=10.2307%2f2061409&partnerID=40&md5=8f688664bbd8a58fc87e283ec614bc22",Article,"Final",,Scopus,2-s2.0-0022670828
"Markus, H.R., Conner, A.","","Clash!: How to Thrive in a Multicultural World",2014,"Clash! How to thrive in a multicultural world",,,,"","",,29,,,Article,"Final",,Scopus,2-s2.0-84963547404
"Lammers, J.","24332169200;","Abstraction increases hypocrisy",2012,"Journal of Experimental Social Psychology","48","2",,"475","480",,29,"10.1016/j.jesp.2011.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857140225&doi=10.1016%2fj.jesp.2011.07.006&partnerID=40&md5=4fa493ef594620e76008ac209bfed9d5",Article,"Final",,Scopus,2-s2.0-84857140225
"Polman, E., Ruttan, R.L.","35191095500;54881488400;","Effects of anger, guilt, and envy on moral hypocrisy",2012,"Personality and Social Psychology Bulletin","38","1",,"129","139",,29,"10.1177/0146167211422365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855263941&doi=10.1177%2f0146167211422365&partnerID=40&md5=feb1ca0c5527700c2cd462ce29fc5b8f",Article,"Final",,Scopus,2-s2.0-84855263941
"Jackson, L.E., Gaertner, L.","36172391900;6701550492;","Mechanisms of moral disengagement and their differential use by right-wing authoritarianism and social dominance orientation in support of war",2010,"Aggressive Behavior","36","4",,"238","250",,29,"10.1002/ab.20344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954633793&doi=10.1002%2fab.20344&partnerID=40&md5=fac8b22a8c72f16316b5e5dae8644fde",Article,"Final",,Scopus,2-s2.0-77954633793
"Manning, A., Saidi, F.","7101816484;36180323000;","Understanding the gender pay gap: What's competition got to do with it?",2010,"Industrial and Labor Relations Review","63","4",,"681","698",,29,"10.1177/001979391006300407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954800717&doi=10.1177%2f001979391006300407&partnerID=40&md5=81a8a5cfaa0a804bf5e79299d4cbde85",Article,"Final",,Scopus,2-s2.0-77954800717
"Lichter, D.T., Qian, Z.","",[No title available],2004,"Marriage and Family in a Multiracial Society",,,,"","",,29,,,Article,"Final",,Scopus,2-s2.0-30544452486
"Kirchner, C.","7005348213;","Looking under the street lamp: Inappropriate uses of measures just because they are there",1996,"Journal of Disability Policy Studies","7","1",,"77","90",,29,"10.1177/104420739600700104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002896418&doi=10.1177%2f104420739600700104&partnerID=40&md5=112416a2ffbaaff0bd935547717b7e7f",Article,"Final",,Scopus,2-s2.0-0002896418
"Bloom, P.","7102362810;","Empathy and Its Discontents",2017,"Trends in Cognitive Sciences","21","1",,"24","31",,28,"10.1016/j.tics.2016.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006736237&doi=10.1016%2fj.tics.2016.11.004&partnerID=40&md5=de10f25b3295a1d6d9d5c4f080411f1f",Review,"Final",,Scopus,2-s2.0-85006736237
"de Graauw, E.","36713295500;","Making immigrant rights real: Nonprofits and the politics of integration in San Francisco",2016,"Making Immigrant Rights Real: Nonprofits and the Politics of Integration in San Francisco",,,,"1","238",,28,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018263808&partnerID=40&md5=1bf1f803a19f9ca9af27602dd7ea42c5",Book,"Final",,Scopus,2-s2.0-85018263808
"Greenbaum, R.L., Mawritz, M.B., Piccolo, R.F.","24343584000;55209903100;9733317500;","When Leaders Fail to “Walk the Talk”: Supervisor Undermining and Perceptions of Leader Hypocrisy",2015,"Journal of Management","41","3",,"929","956",,28,"10.1177/0149206312442386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924561457&doi=10.1177%2f0149206312442386&partnerID=40&md5=1fb93305db3099ed47b1bba537edf83f",Article,"Final",,Scopus,2-s2.0-84924561457
"Kahn, L.B.","35091337500;","Asymmetric information between employers",2013,"American Economic Journal: Applied Economics","5","4",,"165","205",,28,"10.1257/app.5.4.165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887697091&doi=10.1257%2fapp.5.4.165&partnerID=40&md5=f497bc28729e63ef14891457498a8004",Article,"Final",,Scopus,2-s2.0-84887697091
"Hoffman, M., Gneezy, U., List, J.A.","39461367100;6701455596;26643272500;","Nurture affects gender differences in spatial abilities",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","36",,"14786","14788",,28,"10.1073/pnas.1015182108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052606363&doi=10.1073%2fpnas.1015182108&partnerID=40&md5=604cd6e46ce77935fc71581e8d895a00",Article,"Final",Open Access,Scopus,2-s2.0-80052606363
"Spivey, C.","57203042027;","Time off at what price? The effects of career interruptions on earnings",2005,"Industrial and Labor Relations Review","59","1",,"119","140",,28,"10.1177/001979390505900107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30444442399&doi=10.1177%2f001979390505900107&partnerID=40&md5=72c563715e4b194f4a38689e4764d889",Article,"Final",,Scopus,2-s2.0-30444442399
"Edin, P.-A., Richardson, K.","6603069754;7202201973;","Swimming with the tide: Solidary wage policy and the gender earnings gap",2002,"Scandinavian Journal of Economics","104","1",,"49","67",,28,"10.1111/1467-9442.00271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036005244&doi=10.1111%2f1467-9442.00271&partnerID=40&md5=0eb5b898d1edc8b5a4ab30216aedcdd1",Article,"Final",,Scopus,2-s2.0-0036005244
"Borjas, G.","",[No title available],2000,"Issues in the Economics of Immigration",,,,"","",,28,,,Article,"Final",,Scopus,2-s2.0-0013092787
"Houle, J.N.","35102176000;","A generation indebted: Young adult debt across three cohorts",2014,"Social Problems","61","3",,"448","465",,27,"10.1525/sp.2014.12110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904874751&doi=10.1525%2fsp.2014.12110&partnerID=40&md5=7714a264de08403168c1ad34e1f78600",Review,"Final",,Scopus,2-s2.0-84904874751
"Cech, E.A.","24491438500;","Ideological wage inequalities? The technical/social dualism and the gender wage gap in engineering",2013,"Social Forces","91","4",,"1147","1182",,27,"10.1093/sf/sot024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878476843&doi=10.1093%2fsf%2fsot024&partnerID=40&md5=c35f303ebc0439d366430736a582e1f8",Article,"Final",,Scopus,2-s2.0-84878476843
"Vogelgesang, G.R., Leroy, H., Avolio, B.J.","25958533000;53877758300;7004253163;","The mediating effects of leader integrity with transparency in communication and work engagement/performance",2013,"Leadership Quarterly","24","3",,"405","413",,27,"10.1016/j.leaqua.2013.01.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877801655&doi=10.1016%2fj.leaqua.2013.01.004&partnerID=40&md5=9e92e56358f363fc39650a48b57fe601",Article,"Final",,Scopus,2-s2.0-84877801655
"Monin, B., Merritt, A.","","Moral hypocrisy, moral inconsistency, and the struggle for moral integrity",2012,"The social psychology of morality: Exploring the causes of good and evil",,,,"167","184",,27,,,Article,"Final",,Scopus,2-s2.0-84890427100
"Jones, M.K.","55491024800;","Is there employment discrimination against the disabled?",2006,"Economics Letters","92","1",,"32","37",,27,"10.1016/j.econlet.2006.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744530031&doi=10.1016%2fj.econlet.2006.01.008&partnerID=40&md5=1a1e023cd2fec75e26a6139cd8f4c703",Article,"Final",,Scopus,2-s2.0-33744530031
"Rottenberg, S.","","On choice in labor markets",1956,"Industrial and Labor Relations Review","9","2",,"183","199",,27,,,Article,"Final",,Scopus,2-s2.0-84916050821
"Addo, F.R.","36342302700;","Debt, Cohabitation, and Marriage in Young Adulthood",2014,"Demography","51","5",,"1677","1701",,26,"10.1007/s13524-014-0333-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910136572&doi=10.1007%2fs13524-014-0333-6&partnerID=40&md5=e5080efddd4896a0b2dbf5b44918ce36",Article,"Final",,Scopus,2-s2.0-84910136572
"Benítez-Silva, H., Disney, R., Jiménez-Martín, S.","7801442051;7006770049;6603208653;","Disability, capacity for work and the business cycle: An international perspective",2010,"Economic Policy","25","63",,"483","536",,26,"10.1111/j.1468-0327.2010.00247.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955156412&doi=10.1111%2fj.1468-0327.2010.00247.x&partnerID=40&md5=4d49c500f9376405f7b6d3aac4af2c2f",Article,"Final",,Scopus,2-s2.0-77955156412
"Carrington, W.J., McCue, K., Pierce, B.","7004180274;7006921449;7102438118;","Using establishment size to measure the impact of Title VII and Affirmative Action",2000,"Journal of Human Resources","35","3",,"503","523",,26,"10.2307/146390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033831513&doi=10.2307%2f146390&partnerID=40&md5=cb1c526123b3abd9f01f7c36a2e37044",Article,"Final",,Scopus,2-s2.0-0033831513
"Ehrenberg, R.G., Pieper, P.J., Willis, R.A.","7004625566;7003978869;7202814078;","Do economics departments with lower tenure probabilities pay higher faculty salaries?",1998,"Review of Economics and Statistics","80","4",,"503","512",,26,"10.1162/003465398557780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032265581&doi=10.1162%2f003465398557780&partnerID=40&md5=2c0eabacfd53e0123e05cdd6c37f9b6b",Article,"Final",,Scopus,2-s2.0-0032265581
"Crisp, R., Cowton, C.","","Hypocrisy and moral seriousness",1994,"American Philosophical Quarterly","31","4",,"343","349",,26,,,Article,"Final",,Scopus,2-s2.0-0010814721
"Lavy, V., Sand, E.","","On the origins of gender human capital gaps: Short and long term consequences of teachers’ stereotypical biases. Working Paper No. w20909",2015,"On the Origins of Gender Human Capital Gaps: Short and Long Term Consequences of Teachers' Stereotypical Biases",,,,"","",,25,,,Article,"Final",,Scopus,2-s2.0-84939600624
"Kannan-Narasimhan, R., Lawrence, B.S.","6504016092;7102054056;","Behavioral Integrity: How Leader Referents and Trust Matter to Workplace Outcomes",2012,"Journal of Business Ethics","111","2",,"165","178",,25,"10.1007/s10551-011-1199-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870355895&doi=10.1007%2fs10551-011-1199-9&partnerID=40&md5=e40a9d6147a3bec7d055ac9edbe02718",Article,"Final",,Scopus,2-s2.0-84870355895
"Bodenhausen, G.V., Hugenberg, K.","7006618461;56982790700;","Attention, perception, and social cognition",2011,"Social Cognition: The Basis of Human Interaction",,,,"1","22",,25,"10.4324/9780203837948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957623424&doi=10.4324%2f9780203837948&partnerID=40&md5=96d3eb5e80130daf6c6b566aa998d6ba",Book Chapter,"Final",,Scopus,2-s2.0-79957623424
"Bowman, C.G.","",[No title available],2010,"Unmarried Couples, Law, and Public Policy",,,,"","",,25,,,Article,"Final",,Scopus,2-s2.0-84861319597
"Cooper, J., Hogg, M.A.","7406075173;7006277794;","Feeling The Anguish Of Others: A Theory Of Vicarious Dissonance",2007,"Advances in Experimental Social Psychology","39",,,"359","403",,25,"10.1016/S0065-2601(06)39007-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247199088&doi=10.1016%2fS0065-2601%2806%2939007-7&partnerID=40&md5=521814a02adf27cce2b791ea80a48107",Review,"Final",,Scopus,2-s2.0-34247199088
"Ehrenberg, R.G., Ehrenberg, R.A., Smith, C.L., Zhang, L.","7004625566;7004625567;7501650039;8386553400;","Why do school district budget referenda fail?",2004,"Educational Evaluation and Policy Analysis","26","2",,"111","125",,25,"10.3102/01623737026002111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4944238521&doi=10.3102%2f01623737026002111&partnerID=40&md5=2ac9f45e989a0af701b3b1c9b426ac7f",Review,"Final",,Scopus,2-s2.0-4944238521
"Robinson, J.G., McIlwee, J.S.","","Women in engineering: A promise unfulfilled?",1989,"Social Problems","36","5",,"455","472",,25,,,Article,"Final",,Scopus,2-s2.0-84928847749
"Eyal, T., Liberman, N.","","Morality and psychological distance: A construal level theory perspective",2012,"The social psychology of morality: Exploring the causes of good and evil",,,,"185","202",,24,,,Article,"Final",,Scopus,2-s2.0-84880292536
"Campbell, J.L.","7404876040;","Neoliberalism in crisis: Regulatory roots of the U.S. financial meltdown",2010,"Research in the Sociology of Organizations","30","PART B",,"65","101",,24,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956177885&partnerID=40&md5=d7afc0457a49268b66420c3734ea6a9e",Article,"Final",,Scopus,2-s2.0-79956177885
